[0,45.03872609381647,-74.7719688861914,4,1,7703254,6788,112,28,2,1,1,1,1,0,0]
[3,33.22539545182721,35.187146514027,3,0,9730093,3736,40,12,17,1,1,1,1,1,0]
[0,43.1086145782479,-74.89618637685702,2,0,5517170,9518,81,11,3,1,1,1,1,0,0]
[1,41.61186135751131,-88.09079813151324,3,1,8445996,8433,94,29,19,1,1,0,0,1,1]
[0,45.778769630576384,-75.87322124273554,2,0,1972426,9373,113,19,6,1,1,0,0,1,1]
[0,45.766432972961006,-75.30370766150803,4,1,8200498,8751,13,22,14,0,1,0,0,1,0]
[0,44.177406947930244,-76.01448558962942,3,0,9380085,9595,3,26,8,1,1,1,1,0,1]
[3,31.00724238466123,35.784395299224734,0,0,4923178,8699,72,26,1,1,0,1,0,0,1]
[3,31.739379755515845,36.63993428538236,1,0,8188203,6688,197,20,6,1,0,1,1,0,0]
[2,39.45712156279308,-79.17884484627812,1,0,9602866,1039,159,17,13,0,0,0,0,1,1]
[0,43.93981487291017,-75.38046639219895,5,0,8281104,4748,64,29,15,1,1,1,1,1,1]
[0,44.603741048472834,-74.94125852215141,0,1,9498919,3403,174,18,6,1,0,0,1,1,1]
[2,40.29198588139673,-80.00817508712008,3,0,4133691,4500,19,16,2,0,1,1,1,0,1]
[0,43.813594942550075,-74.10141126665324,5,1,924061,7698,24,1,17,1,1,0,1,1,1]
[3,31.03577006428154,35.915453692270994,3,0,9654082,4649,150,9,12,1,1,0,1,1,1]
[0,44.029414447826234,-74.46507388486565,4,1,2752108,8583,139,14,3,1,1,1,0,1,1]
[3,31.427060159683467,36.27009902552384,3,1,1083054,8573,86,5,16,1,1,1,1,1,1]
[1,42.80879783169302,-87.75153183689976,4,0,1531306,9520,137,22,19,1,1,1,1,1,1]
[3,31.13142363919528,36.57168162039164,5,0,6405939,719,105,14,18,1,1,0,0,1,1]
[1,43.029005803912234,-87.38450991254935,1,0,9515686,7355,199,16,3,1,1,1,1,0,1]
[1,43.046285424194586,-87.47318202615419,0,0,1410971,2823,112,27,9,1,1,1,1,0,1]
[1,40.543206271528554,-88.34830356607849,2,0,5081016,3343,62,27,19,0,1,1,1,1,0]
[3,31.673131476916613,35.372104002466976,5,1,1527009,1589,127,11,6,1,0,1,1,1,1]
[1,40.51441079918231,-87.31498206765094,4,0,6266682,791,109,12,2,1,0,1,1,1,1]
[0,43.94192365218037,-74.12519680609033,4,0,9425381,1980,41,15,11,1,0,1,1,0,1]
[1,43.36597262630175,-87.51765612358862,4,0,2621383,9747,149,21,9,0,0,0,1,0,1]
[0,45.79740494057619,-74.79522570542098,1,1,9734703,6517,173,20,0,0,1,1,1,1,1]
[2,38.48508404602592,-78.4721346832399,0,0,6224222,2502,115,11,3,1,1,1,1,1,1]
[3,31.23710926954286,35.90137573036048,3,0,9447666,6328,135,17,18,1,1,1,1,1,1]
[1,42.790973126468536,-88.90892555783206,2,0,3022894,9394,42,18,18,0,0,1,1,1,1]
[3,32.92175979406224,35.86509425782281,2,1,6046549,2987,24,28,4,0,1,1,0,0,0]
[0,44.88388257251204,-74.30837280343324,1,1,4727518,1998,181,10,9,1,1,0,1,0,1]
[2,39.7302339823201,-78.40426832852482,5,1,1201213,5133,46,29,5,0,0,1,1,1,1]
[2,39.30098426539746,-78.55733060925796,3,1,1639700,2862,81,28,9,1,1,1,1,0,1]
[0,44.366076277905044,-74.93724010831714,0,1,7710630,3438,18,22,9,1,1,0,1,0,0]
